,date,total_cases,new_cases,total_tests,new_tests,total_deaths,new_deaths,positivity_rate,num_cases_per_100k
204,2020-09-24,790640,3170,13952857,73434,15314,110,0.056665097334545896,1987.5314228255406
205,2020-09-25,794040,3400,14052247,99390,15398,84,0.05650626551041979,1996.078431372549
206,2020-09-26,798237,4197,14182730,130483,15532,134,0.05628232364290937,2006.6289592760181
207,2020-09-27,802308,4071,14333498,150768,15587,55,0.05597433369021296,2016.8627450980393
208,2020-09-28,805263,2955,14484852,151354,15608,21,0.05559345721999783,2024.291101055807
209,2020-09-29,807425,2162,14613545,128693,15640,32,0.05525182288075891,2029.7259929612871
210,2020-09-30,810625,3200,14705202,91657,15792,152,0.05512505030532733,2037.770236299648
211,2020-10-01,813687,3062,14771851,66649,15888,96,0.05508361815997196,2045.4675716440422
212,2020-10-02,817277,3590,14868431,96580,15986,98,0.05496726588030707,2054.492207139266
213,2020-10-03,819436,2159,14998888,130457,16074,88,0.05463311680172557,2059.9195575666163
214,2020-10-04,823729,4293,15160287,161399,16120,46,0.05433465738478434,2070.7114127702366
215,2020-10-05,826784,3055,15301681,141394,16149,29,0.054032233451997855,2078.391151332328
216,2020-10-06,828461,1677,15430421,128740,16177,28,0.05369010994580122,2082.606837606838
217,2020-10-07,831225,2764,15556706,126285,16228,51,0.05343194118343562,2089.555052790347
218,2020-10-08,834800,3575,15623623,66917,16361,133,0.05343190884726289,2098.5419808949223
219,2020-10-09,838606,3806,15736497,112874,16428,67,0.053290513130082255,2108.1096028154852
220,2020-10-10,842776,4170,15878445,141948,16500,72,0.053076733899320744,2118.592257415787
221,2020-10-11,846579,3803,16047004,168559,16564,64,0.05275620296474033,2128.15233785822
222,2020-10-12,850028,3449,16191341,144337,16572,8,0.052498925197116166,2136.8225238813475
223,2020-10-13,852406,2378,16333717,142376,16581,9,0.05218689658942909,2142.800402212167
224,2020-10-14,855072,2666,16425487,91770,16639,58,0.052057634577288334,2149.5022624434387
225,2020-10-15,858401,3329,16517812,92325,16757,118,0.05196820256823361,2157.8707893413775
226,2020-10-16,861476,3075,16621956,104144,16830,73,0.05182759477885755,2165.600804424334
227,2020-10-17,864455,2979,16756711,134755,16899,69,0.051588584418505515,2173.0894922071393
228,2020-10-18,867317,2862,16892062,135351,16943,44,0.0513446493388433,2180.2840623428856
229,2020-10-19,870791,3474,17042408,150346,16970,27,0.05109553767284529,2189.017094017094
230,2020-10-20,874077,3286,17189070,146662,16992,22,0.050850744106574704,2197.2775263951735
231,2020-10-21,877784,3707,17293139,104069,17027,35,0.0507590900645626,2206.5962795374558
232,2020-10-22,880724,2940,17358770,65631,17189,162,0.0507365441215017,2213.9869281045753
233,2020-10-23,886865,6141,17483293,124523,17262,73,0.050726427795953544,2229.424333836099
234,2020-10-24,892810,5945,17609179,125886,17311,49,0.05070139840136783,2244.369029663147
235,2020-10-25,898029,5219,17787885,178706,17345,34,0.050485428706110926,2257.4886877828058
236,2020-10-26,901010,2981,17982829,194944,17357,12,0.05010390745527303,2264.982403217697
237,2020-10-27,904198,3188,18127049,144220,17400,43,0.04988114722920427,2272.9964806435396
238,2020-10-28,908713,4515,18223596,96547,17475,75,0.04986463703431529,2284.346405228758
239,2020-10-29,912904,4191,18323771,100175,17541,66,0.049820749233331935,2294.881850175968
240,2020-10-30,916918,4014,18444523,120752,17571,30,0.049712209960647936,2304.972347913524
241,2020-10-31,922005,5087,18602317,157794,17626,55,0.049563987109777774,2317.7601809954754
242,2020-11-01,926534,4529,18743315,140998,17667,41,0.0494327710973219,2329.145299145299
243,2020-11-02,930628,4094,18912501,169186,17672,5,0.04920702978416234,2339.436902966315
244,2020-11-03,934672,4044,19074921,162420,17686,14,0.049000045662050185,2349.602815485169
245,2020-11-04,940010,5338,19181012,106091,17752,66,0.04900732036453551,2363.0216189039716
246,2020-11-05,944576,4566,19266363,85351,17815,63,0.049027208716040487,2374.4997486173957
